x,y,z,w
-83.8609,299.095,-333.101,0.377779
-506.058,19.6093,-1.92029,0.536964
-116.228,55.0373,46.584,0.178005
187.362,64.3414,147.368,0.918323
96.8958,-374.044,361.324,0.863573
181.363,66.8198,152.23,0.327088
-1181.68,-41.7871,-932.294,0.598093
177.437,67.5815,141.975,0.664867
188.419,70.8027,160.437,0.299377
182.663,62.8371,144.391,0.409519
1193.35,409.381,373.778,1.065
-401.311,-124.364,-596.98,0.103449
194.643,61.1959,116.616,0.723035
-397.824,420.084,218.057,0.967061
-443.295,574.623,-820.002,0.508033
546.133,-790.005,-543.888,0.636638
1083.88,-67.6454,-676.62,0.861681
184.973,68.1211,156.018,1.02813
187.441,53.0108,137.533,0.358553
-153.254,-463.267,61.9712,0.325013
20.3272,489.508,-183.653,0.757002
40.6,45.1061,197.528,1.09194
197.032,62.0466,139.783,0.174801
161.045,53.7369,66.763,0.51258
1053.71,2599.7,-276.977,0.390078
182.83,69.9654,152.2,0.753371
155.449,156.441,-729.332,0.266967
185.849,67.5049,132.833,0.45139
51.305,-121.744,916.813,0.306488
182.842,66.3594,151.007,0.327973
348.563,121.617,-194.916,0.322266
-534.446,161.528,669.272,0.926777
185.755,66.6089,147.224,0.24127
180.559,60.856,165.959,0.477087
55.3213,370.61,-483.668,1.02978
184.942,62.5323,144.951,0.88222
-574.842,158.221,964.881,0.74388
178.596,64.629,155.203,0.832658
200.352,1353.1,-845.957,0.705548
365.563,168.33,219.379,1.04446
184.272,67.1921,154.117,0.803238
494.931,198.478,64.6463,0.622385
179.564,65.4035,148.307,0.917652
46.1639,914.288,-988.603,0.548408
176.21,68.8747,152.331,0.472692
-317.403,-290.775,19.3411,0.294678
187.202,68.6614,144.488,0.111017
-524.616,-1084.7,-731.032,0.562172
180.622,67.7643,151.091,0.495093
855.309,880.544,-837.755,0.143641
-609.297,-351.478,-705.357,0.232633
182.263,67.9071,147.628,0.912128
180.764,67.634,155.168,0.927754
185.303,72.9678,112.453,0.934071
958.446,122.457,74.8206,0.356355
191.489,64.65,136.017,0.707746
-446.581,-43.7268,-196.551,0.767348
185.475,67.6384,156.023,0.526435
189.286,68.9947,134.557,0.308014
183.534,68.0788,150.853,0.966787
184.597,65.4915,141.065,0.575082
182.647,63.4732,143.325,0.501959
187.357,65.2033,141.296,0.290374
105.362,-259.142,202.862,0.240141
365.222,37.8169,-357.717,0.101617
180.113,45.3462,130.078,0.787582
190.376,64.453,146.929,0.508246
174.203,896.12,-436.215,0.236998
128.017,38.0188,88.3784,0.912098
183.963,67.2659,149.647,0.280883
181.743,62.0761,148.747,0.793258
-1586.48,-2454.26,-3605.02,0.449681
181.523,64.735,144.413,1.01095
174.541,63.4675,181.252,0.475195
170.173,-304.639,925.517,0.229063
763.057,367.936,325.125,0.778762
181.883,67.4854,145.408,0.467229
